threads,memory_bound_mean,memory_bound_std,cpu_bound_mean,cpu_bound_std
1,0.023358870,0.004594372,4.429636315,0.972680649
2,0.013881175,0.003655642,2.415796635,0.534712154
3,0.009699260,0.002778197,1.630652604,0.291026692
4,0.007902079,0.002191246,1.252250698,0.208867435
5,0.006826977,0.002781112,1.018302607,0.136447431
6,0.006353219,0.002599471,0.885678238,0.110532996
7,0.006099573,0.002476039,0.773265457,0.085487728
8,0.006253054,0.002579353,0.723160894,0.067075631
9,0.007185475,0.001638318,0.677131671,0.078047293
10,0.008827855,0.006621046,0.632085489,0.080701133
11,0.009990856,0.008602768,0.595758522,0.069542883
12,0.011069636,0.010810103,0.560148608,0.063509792
13,0.008174350,0.005734415,0.528825838,0.066791051
14,0.009945355,0.010731132,0.515090527,0.053325228
15,0.008533140,0.009293057,0.494523488,0.056866525
16,0.011291452,0.013033402,0.486452829,0.053090984
17,0.009594742,0.010976845,0.471347003,0.064756481
18,0.007732995,0.010068434,0.457091947,0.060896801
19,0.004918543,0.001198619,0.425078084,0.032130027
20,0.011672896,0.013912531,0.454221454,0.102179727
21,0.013217059,0.025359012,0.428207763,0.046593794
22,0.008246412,0.009745123,0.412257222,0.056175563
23,0.018319698,0.022413996,0.426504990,0.083766493
24,0.017152851,0.016352074,0.416744354,0.079807491
25,0.018922075,0.021476161,0.420564705,0.088671890
26,0.014743487,0.016068908,0.428745818,0.069806737
27,0.025281860,0.034507792,0.571502011,0.467346417
28,0.016045325,0.011228597,0.415032975,0.067078965
