threads,seq_time,par_time,seq_count,par_count
1,0.843116308,0.824924137,348513,348513
2,0.812014378,0.568459743,348513,348268
3,0.772203092,0.383758730,348513,347910
4,0.815211707,0.305618608,348513,347448
5,0.829562755,0.268260192,348513,347155
6,0.831927567,0.235391039,348513,346907
7,0.853738720,0.187964556,348513,346719
8,0.821637554,0.187637261,348513,345859
9,0.853155785,0.155927153,348513,345217
10,0.905964192,0.147439912,348513,345836
11,0.818359641,0.141107774,348513,343025
12,0.842863084,0.143371242,348513,344309
13,0.817517881,0.136168715,348513,344320
14,0.774680176,0.136172931,348513,343009
15,0.813516158,0.127368177,348513,340528
16,0.829587084,0.121996160,348513,341725
17,0.791886261,0.113738076,348513,340103
18,0.801885554,0.118025196,348513,338133
19,0.806833732,0.092624454,348513,338572
20,0.779724251,0.094667262,348513,335512
21,0.815087427,0.093937439,348513,335048
22,0.815611711,0.096179413,348513,327265
23,0.774175734,0.088041436,348513,334053
24,0.834882927,0.087549652,348513,328479
25,0.805650084,0.079490230,348513,323372
26,0.808712331,0.078258421,348513,323893
27,0.804605456,0.086910566,348513,296365
28,0.809643723,0.085989518,348513,316598
