version,threads,run,pi,error,time_s
e1,1,1,3.1415096000,8.3053589793e-05,
e1,1,2,3.1415096000,8.3053589793e-05,
e1,1,3,3.1415096000,8.3053589793e-05,
e1,1,4,3.1415096000,8.3053589793e-05,
e1,1,5,3.1415096000,8.3053589793e-05,
e1,1,6,3.1415096000,8.3053589793e-05,
e1,1,7,3.1415096000,8.3053589793e-05,
e1,1,8,3.1415096000,8.3053589793e-05,
e1,1,9,3.1415096000,8.3053589793e-05,
e1,1,10,3.1415096000,8.3053589793e-05,
e2,1,1,3.1415096000,8.3053589793e-05,0.095163994
e2,1,2,3.1415096000,8.3053589793e-05,0.097665750
e2,1,3,3.1415096000,8.3053589793e-05,0.098151058
e2,1,4,3.1415096000,8.3053589793e-05,0.096031915
e2,1,5,3.1415096000,8.3053589793e-05,0.096031617
e2,1,6,3.1415096000,8.3053589793e-05,0.095015397
e2,1,7,3.1415096000,8.3053589793e-05,0.096464106
e2,1,8,3.1415096000,8.3053589793e-05,0.095012980
e2,1,9,3.1415096000,8.3053589793e-05,0.095912713
e2,1,10,3.1415096000,8.3053589793e-05,0.096497067
e3,1,1,3.1414512000,1.4145358979e-04,0.056496935
e3,1,2,3.1414512000,1.4145358979e-04,0.054824894
e3,1,3,3.1414512000,1.4145358979e-04,0.055750984
e3,1,4,3.1414512000,1.4145358979e-04,0.054867476
e3,1,5,3.1414512000,1.4145358979e-04,0.056266357
e3,1,6,3.1414512000,1.4145358979e-04,0.055474096
e3,1,7,3.1414512000,1.4145358979e-04,0.055017665
e3,1,8,3.1414512000,1.4145358979e-04,0.055333515
e3,1,9,3.1414512000,1.4145358979e-04,0.056044127
e3,1,10,3.1414512000,1.4145358979e-04,0.056166218
e1,2,1,2.1918832000,9.4970945359e-01,
e1,2,2,1.9662176000,1.1753750536e+00,
e1,2,3,2.2132056000,9.2838705359e-01,
e1,2,4,1.8089600000,1.3326326536e+00,
e1,2,5,2.2215192000,9.2007345359e-01,
e1,2,6,2.0357776000,1.1058150536e+00,
e1,2,7,1.8840480000,1.2575446536e+00,
e1,2,8,2.2108624000,9.3073025359e-01,
e1,2,9,2.1314488000,1.0101438536e+00,
e1,2,10,1.9768992000,1.1646934536e+00,
e2,2,1,3.1415096000,8.3053589793e-05,0.346072002
e2,2,2,3.1415096000,8.3053589793e-05,0.327399917
e2,2,3,3.1415096000,8.3053589793e-05,0.320807479
e2,2,4,3.1415096000,8.3053589793e-05,0.315443457
e2,2,5,3.1415096000,8.3053589793e-05,0.288254615
e2,2,6,3.1415096000,8.3053589793e-05,0.298834844
e2,2,7,3.1415096000,8.3053589793e-05,0.327128052
e2,2,8,3.1415096000,8.3053589793e-05,0.307461342
e2,2,9,3.1415096000,8.3053589793e-05,0.343920566
e2,2,10,3.1415096000,8.3053589793e-05,0.287641059
e3,2,1,3.1419952000,4.0254641021e-04,0.028357996
e3,2,2,3.1419952000,4.0254641021e-04,0.027401370
e3,2,3,3.1419952000,4.0254641021e-04,0.027540256
e3,2,4,3.1419952000,4.0254641021e-04,0.027506409
e3,2,5,3.1419952000,4.0254641021e-04,0.027562605
e3,2,6,3.1419952000,4.0254641021e-04,0.027253682
e3,2,7,3.1419952000,4.0254641021e-04,0.027501613
e3,2,8,3.1419952000,4.0254641021e-04,0.027497951
e3,2,9,3.1419952000,4.0254641021e-04,0.028087284
e3,2,10,3.1419952000,4.0254641021e-04,0.028474367
e1,3,1,1.3684240000,1.7731686536e+00,
e1,3,2,0.9973912000,2.1442014536e+00,
e1,3,3,1.3672168000,1.7743758536e+00,
e1,3,4,1.3548872000,1.7867054536e+00,
e1,3,5,1.3853656000,1.7562270536e+00,
e1,3,6,1.2156904000,1.9259022536e+00,
e1,3,7,1.2527600000,1.8888326536e+00,
e1,3,8,1.2893192000,1.8522734536e+00,
e1,3,9,1.1971144000,1.9444782536e+00,
e1,3,10,1.0945496000,2.0470430536e+00,
e2,3,1,3.1415096000,8.3053589793e-05,0.422011636
e2,3,2,3.1415096000,8.3053589793e-05,0.517488159
e2,3,3,3.1415096000,8.3053589793e-05,0.473085399
e2,3,4,3.1415096000,8.3053589793e-05,0.533637917
e2,3,5,3.1415096000,8.3053589793e-05,0.449309120
e2,3,6,3.1415096000,8.3053589793e-05,0.453193313
e2,3,7,3.1415096000,8.3053589793e-05,0.542006925
e2,3,8,3.1415096000,8.3053589793e-05,0.449499197
e2,3,9,3.1415096000,8.3053589793e-05,0.433105554
e2,3,10,3.1415096000,8.3053589793e-05,0.525853285
e3,3,1,3.1416584000,6.5746410207e-05,0.019016351
e3,3,2,3.1416584000,6.5746410207e-05,0.018622148
e3,3,3,3.1416584000,6.5746410207e-05,0.018813894
e3,3,4,3.1416584000,6.5746410207e-05,0.018722691
e3,3,5,3.1416584000,6.5746410207e-05,0.018825624
e3,3,6,3.1416584000,6.5746410207e-05,0.018933911
e3,3,7,3.1416584000,6.5746410207e-05,0.018719186
e3,3,8,3.1416584000,6.5746410207e-05,0.018768428
e3,3,9,3.1416584000,6.5746410207e-05,0.018642662
e3,3,10,3.1416584000,6.5746410207e-05,0.018789062
e1,4,1,0.8882976000,2.2532950536e+00,
e1,4,2,0.9459056000,2.1956870536e+00,
e1,4,3,0.9200824000,2.2215102536e+00,
e1,4,4,0.7157944000,2.4257982536e+00,
e1,4,5,0.9235392000,2.2180534536e+00,
e1,4,6,0.9969992000,2.1445934536e+00,
e1,4,7,1.0165576000,2.1250350536e+00,
e1,4,8,1.0003816000,2.1412110536e+00,
