threads,e1_pi_mean,e1_pi_std,e1_pi_min,e1_pi_max,e2_pi,e2_error,e2_time_median_s,e2_time_mean_s,e2_time_std_s,e3_pi,e3_error,e3_time_median_s,e3_time_mean_s,e3_time_std_s,e2_e3_time_ratio
1,3.1415096000,0.0000000000,3.1415096000,3.1415096000,3.1415096000,8.3053589793e-05,0.096032,0.096195,0.001061,3.1414512000,1.4145358979e-04,0.055613,0.055624,0.000610,1.73
2,2.0640821600,0.1508933158,1.8089600000,2.2215192000,3.1415096000,8.3053589793e-05,0.318125,0.316296,0.020821,3.1419952000,4.0254641021e-04,0.027523,0.027718,0.000426,11.56
3,1.2522718400,0.1293321585,0.9973912000,1.3853656000,3.1415096000,8.3053589793e-05,0.463139,0.479919,0.045252,3.1416584000,6.5746410207e-05,0.018779,0.018785,0.000122,24.66
4,0.9132916000,0.0891817886,0.7157944000,1.0165576000,3.1415096000,8.3053589793e-05,0.570798,0.573104,0.051590,3.1415536000,3.9053589793e-05,0.014342,0.014610,0.000932,39.80
5,0.6143472000,0.1462400416,0.4687224000,0.9602776000,3.1415096000,8.3053589793e-05,0.657251,0.656626,0.043727,3.1416584000,6.5746410207e-05,0.011427,0.011779,0.001037,57.52
6,0.5772956000,0.1428706519,0.3855336000,0.8365112000,3.1415096000,8.3053589793e-05,0.728624,0.727017,0.026478,3.1422696000,6.7694641021e-04,0.009733,0.010109,0.000707,74.86
7,0.4789444800,0.0958762541,0.3326752000,0.5975608000,3.1415096000,8.3053589793e-05,0.814508,0.818467,0.064443,3.1412936000,2.9905358979e-04,0.010390,0.010627,0.001339,78.39
8,0.4566513600,0.0802878957,0.3161328000,0.5506096000,3.1415096000,8.3053589793e-05,0.902719,0.899906,0.065265,3.1410312000,5.6145358979e-04,0.009420,0.009500,0.000906,95.83
9,0.4759619200,0.1135638458,0.2695864000,0.6404024000,3.1415096000,8.3053589793e-05,0.959269,0.970237,0.072298,3.1408976000,6.9505358979e-04,0.009458,0.009278,0.001034,101.43
10,0.4757358400,0.1512766003,0.2899584000,0.7522640000,3.1415096000,8.3053589793e-05,1.065433,1.062766,0.040215,3.1409880000,6.0465358979e-04,0.009089,0.009152,0.000677,117.22
11,0.4660584000,0.1242698731,0.3023880000,0.6560936000,3.1415096000,8.3053589793e-05,1.126239,1.147929,0.065376,3.1409808000,6.1185358979e-04,0.007794,0.008516,0.002311,144.50
12,0.3913172000,0.1272100814,0.2627304000,0.6418384000,3.1415096000,8.3053589793e-05,1.048061,0.946840,0.241653,3.1415728000,1.9853589793e-05,0.003890,0.003911,0.000176,269.42
13,0.5686052800,0.1559543244,0.3832584000,0.8241920000,3.1415096000,8.3053589793e-05,0.757615,0.729556,0.081934,3.1420472000,4.5454641021e-04,0.003538,0.003604,0.000187,214.11
14,0.4859702400,0.1299358664,0.3248536000,0.6791216000,3.1415096000,8.3053589793e-05,0.746605,0.724964,0.099197,3.1417512000,1.5854641021e-04,0.003498,0.003522,0.000126,213.44
15,0.6227035200,0.1643530274,0.3489472000,0.7462000000,3.1415096000,8.3053589793e-05,0.828155,0.765258,0.132694,3.1419336000,3.4094641021e-04,0.003381,0.003407,0.000225,244.97
16,0.4114072800,0.1164830369,0.2833832000,0.6941400000,3.1415096000,8.3053589793e-05,0.902004,0.848823,0.118031,3.1418200000,2.2734641021e-04,0.003321,0.003506,0.000628,271.58
17,0.4628146400,0.1579177723,0.2729624000,0.7811272000,3.1415096000,8.3053589793e-05,1.002053,0.946387,0.130611,3.1420392000,4.4654641021e-04,0.004960,0.005278,0.001510,202.01
18,0.5233135200,0.1829530943,0.2299744000,0.7631944000,3.1415096000,8.3053589793e-05,0.945427,0.933305,0.163423,3.1419104000,3.1774641021e-04,0.004394,0.004572,0.001019,215.14
19,0.4370780000,0.1530159360,0.2479728000,0.6585648000,3.1415096000,8.3053589793e-05,1.072885,1.015814,0.128097,3.1418264000,2.3374641021e-04,0.005062,0.005266,0.001086,211.96
20,0.4495216800,0.1145504461,0.2729416000,0.6260968000,3.1415096000,8.3053589793e-05,1.145766,1.084381,0.123904,3.1419320000,3.3934641021e-04,0.008617,0.007220,0.002368,132.96
21,0.5472701600,0.1382082920,0.3134528000,0.7816984000,3.1415096000,8.3053589793e-05,1.161608,1.131048,0.139378,3.1415032000,8.9453589793e-05,0.006685,0.006451,0.000959,173.76
22,0.5495237600,0.2147857861,0.3000336000,0.9206144000,3.1415096000,8.3053589793e-05,1.337119,1.308143,0.193223,3.1413720000,2.2065358979e-04,0.003958,0.004785,0.001892,337.79
