threads,v1_critical_rand_s,v2_vector_rand_s,v3_critical_randr_s,v4_vector_randr_s,v4pad_vector_randr_pad_s
1,0.2010,0.2039,0.0514,0.0797,0.0802
2,0.9143,1.0549,0.0268,0.0491,0.0413
3,0.7179,0.6643,0.0160,0.0276,0.0231
4,0.6124,0.7180,0.0137,0.0253,0.0207
5,0.7818,0.8776,0.0097,0.0194,0.0139
6,0.9890,1.0890,0.0096,0.0238,0.0137
7,1.1248,1.2938,0.0096,0.0213,0.0130
8,1.2765,1.3067,0.0084,0.0248,0.0118
9,1.2250,1.3819,0.0076,0.0240,0.0111
10,1.3017,1.4150,0.0070,0.0308,0.0108
11,1.2607,1.2944,0.0063,0.0251,0.0098
12,1.2711,1.4511,0.0059,0.0240,0.0088
13,1.3825,1.4457,0.0058,0.0276,0.0088
14,1.3487,1.4307,0.0052,0.0258,0.0086
15,1.3305,1.4581,0.0054,0.0271,0.0079
16,1.3362,1.5018,0.0052,0.0280,0.0075
17,1.3698,1.4792,0.0046,0.0260,0.0072
18,1.3805,1.4689,0.0045,0.0296,0.0073
19,1.3678,1.4139,0.0153,0.0289,0.0067
20,1.4117,1.4441,0.0046,0.0272,0.0064
21,1.3862,1.2353,0.0299,0.0404,0.0192
22,1.4617,1.3128,0.0321,0.0395,0.0193
23,1.1848,1.2005,0.0323,0.0465,0.0243
24,1.2333,1.2932,0.0278,0.0489,0.0203
25,1.1760,1.2269,0.0376,0.0471,0.0267
26,1.2063,1.2430,0.0355,0.0461,0.0281
27,1.3071,1.2105,0.0370,0.0503,0.0276
28,1.4518,1.3675,0.0302,0.0398,0.0266
