threads,v1_critical_nomeado_s,v2_locks_s
1,0.0009,0.0009
2,0.0049,0.0062
3,0.0101,0.0118
4,0.0165,0.0174
5,0.0195,0.0199
6,0.0253,0.0277
7,0.0287,0.0310
8,0.0325,0.0353
9,0.0357,0.0389
10,0.0392,0.0415
11,0.0429,0.0454
12,0.0503,0.0525
13,0.0524,0.0565
14,0.0649,0.0658
15,0.0585,0.0639
16,0.0739,0.0735
17,0.0768,0.0808
18,0.0793,0.0849
19,0.0894,0.0876
20,0.0880,0.0902
21,0.1150,0.1102
22,0.1161,0.1217
23,0.1254,0.1391
24,0.1367,0.1379
25,0.1442,0.1442
26,0.1338,0.1476
27,0.1476,0.1527
28,0.1379,0.1758
