threads,v1_shared_critical_s,v2_shared_atomic_s,v3_private_critical_s,v4_private_atomic_s,v5_reduction_s
1,0.0323,0.0187,0.0116,0.0114,0.0113
2,0.1014,0.0425,0.0057,0.0058,0.0059
3,0.1370,0.0416,0.0041,0.0041,0.0042
4,0.1831,0.0501,0.0030,0.0031,0.0031
5,0.2360,0.0472,0.0025,0.0026,0.0026
6,0.2698,0.0447,0.0023,0.0022,0.0022
7,0.3038,0.0523,0.0022,0.0021,0.0020
8,0.2789,0.0516,0.0025,0.0021,0.0025
9,0.3409,0.0446,0.0026,0.0027,0.0027
10,0.3722,0.0507,0.0028,0.0026,0.0028
11,0.4199,0.0530,0.0028,0.0028,0.0028
12,0.4757,0.0626,0.0028,0.0027,0.0030
13,0.4560,0.0538,0.0027,0.0026,0.0026
14,0.4825,0.0422,0.0028,0.0026,0.0024
15,0.4552,0.0440,0.0034,0.0022,0.0024
16,0.5290,0.0662,0.0022,0.0023,0.0023
17,0.5192,0.0482,0.0026,0.0022,0.0022
18,0.6140,0.0562,0.0024,0.0027,0.0021
19,0.4892,0.0473,0.0016,0.0016,0.0016
20,0.4358,0.0486,0.0022,0.0022,0.0017
21,0.5905,0.0451,0.0021,0.0029,0.0025
22,0.5424,0.0465,0.0020,0.0019,0.0017
23,0.6287,0.0516,0.0022,0.0020,0.0027
24,0.5970,0.0570,0.0020,0.0022,0.0032
25,0.4665,0.0485,0.0039,0.0054,0.0027
26,0.5263,0.0606,0.0022,0.0020,0.0021
27,0.6415,0.0698,0.0084,0.0054,0.0042
28,0.6883,0.0738,0.0171,0.0172,0.0130
